name,height_in_cm,market_value_in_eur
Aaron Hickey,185,16000000.0
Carl Rushworth,191,16000000.0
Nordi Mukiele,187,16000000.0
Emiliano Buendía,172,16000000.0
Evander,180,16000000.0
Dodô,166,16000000.0
Haji Wright,191,16000000.0
Amar Dedić,180,16000000.0
Nicolò Fagioli,178,16000000.0
Davinson Sánchez,188,16000000.0
Josh Sargent,185,16000000.0
Wilfried Gnonto,170,16000000.0
Oussama Targhalline,186,16000000.0
Gabriel Mec,173,16000000.0
Oliver Provstgaard,194,16000000.0
Fer López,188,16000000.0
Quilindschy Hartman,183,16000000.0
Martinelli,176,16000000.0
Eliezer Mayenda,183,16000000.0
Hakan Çalhanoğlu,178,16000000.0
Lazar Samardžić,184,16000000.0
Tosin Adarabioyo,197,16000000.0
Merlin Röhl,192,16000000.0
Dara O'Shea,189,16000000.0
Jean-Ricner Bellegarde,170,16000000.0
Radu Drăgușin,191,16000000.0
Florentino,184,16000000.0
Sergio Gómez,173,15000000.0
Edson Álvarez,190,15000000.0
Mads Hermansen,187,15000000.0
Olivier Boscagli,181,15000000.0
Viktor Tsygankov,178,15000000.0
Ozan Kabak,187,15000000.0
Riccardo Orsolini,186,15000000.0
Khalis Merah,178,15000000.0
Nayef Aguerd,190,15000000.0
Jhon Durán,185,15000000.0
Axel Disasi,191,15000000.0
Jayden Bogle,178,15000000.0
